userid,movieid,rating,timestamp,index
1,31,2.5,1260759144,0
1,1029,3,1260759179,1
1,1061,3,1260759182,2
1,1129,2,1260759185,3
1,1172,4,1260759205,4
1,1263,2,1260759151,5
1,1287,2,1260759187,6
1,1293,2,1260759148,7
1,1339,3.5,1260759125,8
1,1343,2,1260759131,9
1,1371,2.5,1260759135,10
1,1405,1,1260759203,11
1,1953,4,1260759191,12
1,2105,4,1260759139,13
1,2150,3,1260759194,14
1,2193,2,1260759198,15
1,2294,2,1260759108,16
1,2455,2.5,1260759113,17
1,2968,1,1260759200,18
1,3671,3,1260759117,19
2,10,4,835355493,20
2,17,5,835355681,21
2,39,5,835355604,22
2,47,4,835355552,23
2,50,4,835355586,24
2,52,3,835356031,25
2,62,3,835355749,26
2,110,4,835355532,27
2,144,3,835356016,28
2,150,5,835355395,29
2,153,4,835355441,30
2,161,3,835355493,31
2,165,3,835355441,32
2,168,3,835355710,33
2,185,3,835355511,34
2,186,3,835355664,35
2,208,3,835355511,36
2,222,5,835355840,37
2,223,1,835355749,38
2,225,3,835355552,39
2,235,3,835355664,40
2,248,3,835355896,41
2,253,4,835355511,42
2,261,4,835355681,43
2,265,5,835355697,44
2,266,5,835355586,45
2,272,3,835355767,46
2,273,4,835355779,47
2,292,3,835355492,48
2,296,4,835355395,49
2,300,3,835355532,50
2,314,4,835356044,51
2,317,2,835355551,52
2,319,1,835355918,53
2,339,3,835355492,54
2,349,4,835355441,55
2,350,4,835355697,56
2,356,3,835355628,57
2,357,3,835355749,58
2,364,3,835355604,59
2,367,3,835355619,60
2,370,2,835355932,61
2,371,3,835355968,62
2,372,3,835356094,63
2,377,3,835355710,64
2,382,3,835356165,65
2,405,2,835356246,66
2,410,3,835355532,67
2,454,4,835355604,68
2,457,3,835355511,69
2,468,4,835355790,70
2,474,2,835355828,71
2,480,4,835355643,72
2,485,3,835355918,73
2,497,3,835355880,74
2,500,4,835355731,75
2,508,4,835355860,76
2,509,4,835355719,77
2,515,4,835355817,78
2,527,4,835355731,79
2,537,4,835356199,80
2,539,3,835355767,81
2,550,3,835356109,82
2,551,5,835355767,83
2,552,3,835355860,84
2,585,5,835355817,85
2,586,3,835355790,86
2,587,3,835355779,87
2,588,3,835355441,88
2,589,5,835355697,89
2,590,5,835355395,90
2,592,5,835355395,91
2,593,3,835355511,92
2,616,3,835355932,93
2,661,4,835356141,94
2,720,4,835355978,95
3,60,3,1298861675,96
3,110,4,1298922049,97
3,247,3.5,1298861637,98
3,267,3,1298861761,99
3,296,4.5,1298862418,100
3,318,5,1298862121,101
3,355,2.5,1298861589,102
3,356,5,1298862167,103
3,377,2.5,1298923242,104
3,527,3,1298862528,105
3,588,3,1298922100,106
3,592,3,1298923247,107
3,593,3,1298921840,108
3,595,2,1298923260,109
3,736,3.5,1298932787,110
3,778,4,1298863157,111
3,866,3,1298861687,112
3,1197,5,1298932770,113
3,1210,3,1298921795,114
3,1235,4,1298861628,115
3,1271,3,1298861605,116
3,1378,4,1298861658,117
3,1580,3.5,1298922089,118
3,1721,4.5,1298923236,119
3,1884,4,1298863143,120
3,2028,4,1298921862,121
3,2318,4,1298861753,122
3,2513,3,1298861789,123
3,2694,3,1298862710,124
3,2702,3.5,1298861796,125
3,2716,3,1298924017,126
3,2762,3.5,1298922057,127
3,2841,4,1298861733,128
3,2858,4,1298921825,129
3,2959,5,1298862874,130
3,3243,3,1298861968,131
3,3510,4,1298861633,132
3,3949,5,1298863174,133
3,5349,3,1298923266,134
3,5669,3.5,1298862672,135
3,6377,3,1298922080,136
3,7153,2.5,1298921787,137
3,7361,3,1298922065,138
3,8622,3.5,1298861650,139
3,8636,3,1298932766,140
3,27369,3.5,1298862555,141
3,44191,3.5,1298932740,142
3,48783,4.5,1298862361,143
3,50068,4.5,1298862467,144
3,58559,3,1298922071,145
3,84236,4,1298922130,146
4,10,4,949810645,147
4,34,5,949919556,148
4,112,5,949810582,149
4,141,5,949919681,150
4,153,4,949811346,151
4,173,3,949811346,152
4,185,3,949920047,153
4,260,5,949779042,154
4,289,4,949778802,155
4,296,5,949895708,156
4,329,3,949810618,157
4,349,5,949810582,158
4,356,5,949919763,159
4,357,5,949919681,160
4,364,5,949949538,161
4,367,4,949895887,162
4,380,3,949810534,163
4,410,3,949919883,164
4,431,3,949895772,165
4,434,4,949810688,166
4,435,1,949920135,167
4,440,4,949919802,168
4,442,4,949920028,169
4,464,4,949811315,170
4,480,5,949810582,171
4,541,5,949779091,172
4,588,5,949949486,173
4,589,5,949919938,174
4,590,3,949810534,175
4,594,5,949949538,176
4,596,5,949949638,177
4,610,4,949982238,178
4,616,5,949949444,179
4,858,5,949779022,180
4,903,5,949919189,181
4,910,4,949919306,182
4,913,5,949919247,183
4,919,5,949949396,184
4,1011,4,949919454,185
4,1016,4,949919322,186
4,1022,5,949949638,187
4,1028,5,949949638,188
4,1030,5,949896377,189
4,1031,5,949896377,190
4,1032,5,949949538,191
4,1033,5,949949638,192
4,1036,5,949896244,193
4,1073,5,949919372,194
4,1079,5,949811523,195
4,1089,5,949895732,196
4,1097,5,949778771,197
4,1125,5,949919399,198
4,1127,5,949896275,199
4,1136,5,949919372,200
4,1194,5,949919419,201
4,1196,5,949779173,202
4,1197,5,949811490,203
4,1198,5,949779173,204
4,1200,5,949896244,205
4,1206,5,949896159,206
4,1208,5,949779173,207
4,1210,5,949778714,208
4,1213,5,949895708,209
4,1214,5,949810261,210
4,1219,5,949779173,211
4,1220,5,949811523,212
4,1222,5,949918693,213
4,1225,5,949779173,214
4,1230,5,949919372,215
4,1240,5,949896244,216
4,1243,5,949919519,217
4,1257,5,949811602,218
4,1258,5,949918743,219
4,1259,4,949811559,220
4,1265,5,949919591,221
4,1270,5,949811523,222
4,1278,5,949919372,223
4,1282,5,949949396,224
4,1285,4,949811559,225
4,1288,5,949811490,226
4,1291,5,949918743,227
4,1298,4,949918927,228
4,1307,4,949811602,229
4,1332,4,949896275,230
4,1334,5,949982274,231
4,1344,5,949919247,232
4,1356,4,949810582,233
4,1371,4,949810302,234
4,1372,3,949920004,235
4,1374,4,949918787,236
4,1376,3,949918904,237
4,1377,3,949810688,238
4,1380,5,949896377,239
4,1387,5,949810261,240
4,1388,4,949810302,241
4,1396,5,949895772,242
4,1544,3,949811230,243
4,1580,5,949919978,244
4,1663,4,949811559,245
4,1674,5,949896244,246
4,1805,1,949895864,247
4,1858,5,949919738,248
4,1917,4,949810688,249
4,1918,2,949895956,250
4,1953,5,949810261,251
4,1954,5,949810261,252
4,1961,5,949918743,253
4,1967,3,949949538,254
4,1968,5,949811559,255
4,1994,5,949896309,256
4,2000,5,949811602,257
4,2002,3,949895907,258
4,2003,2,949918970,259
4,2005,5,949896070,260
4,2014,4,949919454,261
4,2018,5,949778771,262
4,2020,4,949811738,263
4,2021,4,949896114,264
4,2033,4,949982239,265
4,2034,4,949896183,266
4,2046,5,949810618,267
4,2054,3,949896114,268
4,2064,5,949918648,269
4,2078,5,949949444,270
4,2080,5,949919306,271
4,2081,4,949982239,272
4,2085,5,949949444,273
4,2086,5,949896114,274
4,2087,5,949949638,275
4,2091,5,949896183,276
4,2094,4,949920028,277
4,2096,5,949949538,278
4,2100,5,949896114,279
4,2102,5,949949396,280
4,2105,4,949896114,281
4,2109,5,949919399,282
4,2110,3,949896309,283
4,2114,5,949918927,284
4,2115,5,949918994,285
4,2124,4,949919763,286
4,2140,5,949896070,287
4,2141,4,949982239,288
4,2143,4,949896114,289
4,2144,5,949811603,290
4,2161,5,949896070,291
4,2174,5,949896070,292
4,2193,3,949896070,293
4,2194,5,949918764,294
4,2248,4,949811559,295
4,2263,3,949896309,296
4,2268,5,949895772,297
4,2289,5,949919556,298
4,2348,4,949918927,299
4,2371,4,949811603,300
4,2403,4,949918994,301
4,2406,5,949918994,302
4,2409,4,949810302,303
4,2454,5,949982274,304
4,2467,5,949918875,305
4,2551,4,949896275,306
4,2616,1,949895993,307
4,2628,5,949810582,308
4,2640,5,949810261,309
4,2659,3,949918671,310
4,2683,4,949896497,311
4,2699,4,949896497,312
4,2716,5,949811523,313
4,2723,5,949810582,314
4,2734,4,949778714,315
4,2770,1,949896521,316
4,2788,5,949919399,317
4,2791,5,949811490,318
4,2795,4,949811603,319
4,2797,5,949896070,320
4,2804,5,949811738,321
4,2822,3,949811230,322
4,2867,3,949918875,323
4,2872,5,949896114,324
4,2877,5,949896377,325
4,2902,2,949896309,326
4,2903,1,949896309,327
4,2916,4,949810534,328
4,2918,5,949811559,329
4,2968,5,949896070,330
4,2986,3,949896015,331
4,2987,5,949918807,332
4,2991,5,949810261,333
4,3016,3,949896543,334
4,3034,5,949949444,335
4,3039,4,949811559,336
4,3040,5,949919419,337
4,3060,5,949919656,338
4,3071,4,949918715,339
4,3101,4,949896275,340
4,3104,4,949811603,341
4,3108,5,949919738,342
4,3169,4,949918904,343
4,3208,2,949778946,344
4,3210,4,949811523,345
4,3251,5,949918970,346
4,3255,4,949919738,347
4,3263,3,949919845,348
4,3265,5,949895732,349
4,4006,2,949982238,350
5,3,4,1163374957,351
5,39,4,1163374952,352
5,104,4,1163374639,353
5,141,4,1163374242,354
5,150,4,1163374404,355
5,231,3.5,1163373762,356
5,277,4.5,1163373208,357
5,344,3.5,1163373636,358
5,356,4,1163374152,359
5,364,4,1163373752,360
5,367,4,1163373755,361
5,377,4,1163373610,362
5,440,4,1163374477,363
5,500,4.5,1163373718,364
5,586,4,1163374392,365
5,588,3.5,1163373551,366
5,595,4,1163374190,367
5,597,5,1163373711,368
5,788,3.5,1163374993,369
5,858,2.5,1163373651,370
5,903,3.5,1163373135,371
5,919,4,1163374286,372
5,1022,4,1163373316,373
5,1035,5,1163373103,374
5,1193,3,1163374173,375
5,1221,2.5,1163374239,376
5,1247,4,1163374582,377
5,1307,4,1163374495,378
5,1380,5,1163373044,379
5,1393,3.5,1163374165,380
5,1485,4.5,1163374608,381
5,1544,3.5,1163374562,382
5,1682,4,1163374214,383
5,1721,4,1163373744,384
5,1777,4,1163374601,385
5,1784,4.5,1163374251,386
5,1923,4.5,1163373726,387
5,1961,4,1163373675,388
5,1968,4,1163374324,389
5,1997,3.5,1163374593,390
5,2023,1.5,1163373188,391
5,2081,5,1163373109,392
5,2273,4,1163373276,393
5,2294,4,1163373251,394
5,2355,3.5,1163374184,395
5,2424,4,1163373193,396
5,2502,3.5,1163374290,397
5,2683,4,1163373679,398
